"","sen.slope","sen.slope.pct","p.value","S","varS","miss","tau"
"39975",1,14.2857142857143,0.0388794045152315,24,124,0,0.533333333333333
"39976",0.75,12.2950819672131,0.23402969392116,14,119.333333333333,0,0.311111111111111
"39977",0.5,9.43396226415094,0.367232388040627,11,123,0,0.244444444444444
"39978",0.75,16.304347826087,0.173273023819226,16,121.333333333333,0,0.355555555555556
"39979",0.6,13.0434782608696,0.237923188633698,14,121.333333333333,0,0.311111111111111
"39980",0.25,6.09756097560976,0.716129568855565,5,121,0,0.111111111111111
"39981",0.375,10.4166666666667,0.467058901715173,9,121,0,0.2
"39982",0.428571428571429,9.52380952380952,0.319302036482855,12,122,0,0.266666666666667
"39983",0.333333333333333,5.3763440860215,0.361976326956698,11,120.333333333333,0,0.244444444444444
"39984",0.333333333333333,3.7037037037037,0.220671361919847,14,112.666666666667,0,0.311111111111111
"39985",0.8,7.54716981132075,0.415174369549489,10,122,0,0.222222222222222
"39986",1,10.6382978723404,0.0367946787105445,24,121.333333333333,0,0.533333333333333
"39987",0.714285714285714,8.11688311688312,0.101763504951258,19,121,0,0.422222222222222
"39988",1,13.5135135135135,0.119658305873641,18,119.333333333333,0,0.4
"39989",0.666666666666667,11.9047619047619,0.0853998772869301,20,122,0,0.444444444444444
"39990",0.285714285714286,6.80272108843537,0.239209596584747,14,122,0,0.311111111111111
"39991",0.333333333333333,10.4166666666667,0.113429286810957,18,115.333333333333,0,0.4
"39992",0.333333333333333,13.8888888888889,0.141333474722068,17,118.333333333333,0,0.377777777777778
"39993",0.375,17.0454545454545,0.198098482133538,15,118.333333333333,0,0.333333333333333
"39994",0.2,10.5263157894737,0.462082712762884,9,118.333333333333,0,0.2
"39995",0.25,17.8571428571429,0.136829567026379,17,115.666666666667,0,0.377777777777778
"39996",0.25,16.6666666666667,0.264517896982635,13,115.666666666667,0,0.288888888888889
"39997",0.125,8.92857142857143,0.456966699101389,9,115.666666666667,0,0.2
"39998",0.2,20,0.146399099282964,16,106.666666666667,0,0.355555555555556
"39999",0.142857142857143,15.8730158730159,0.250394565988542,13,109,0,0.288888888888889
"40000",0.2,20,0.129997254351035,17,111.666666666667,0,0.377777777777778
"40001",0.142857142857143,20.4081632653061,0.169125780814602,15,103.666666666667,0,0.333333333333333
"40002",0,0,0.53382942174414,7,93,0,0.155555555555556
"40003",0,0,0.213373707093118,13,93,0,0.288888888888889
"40004",0,0,0.406786833398465,9,93,0,0.2
"40005",0,0,0.437861284562966,9,106.333333333333,0,0.2
"40006",0.166666666666667,18.5185185185185,0.250394565988542,13,109,0,0.288888888888889
"40007",0,0,0.316502592255798,11,99.6666666666667,0,0.244444444444444
"40008",0,0,0.316502592255798,11,99.6666666666667,0,0.244444444444444
"40009",0,0,1,0,88,0,0
"40010",0,0,0.24095466870157,12,88,0,0.266666666666667
"40011",0,0,0.254450582646337,11,77,0,0.244444444444444
"40012",0,0,0.254450582646337,11,77,0,0.244444444444444
"40124",0,0,0.835705026995279,-3,93,0,-0.0666666666666667
"40129",0,0,1,0,88,0,0
"40130",0,0,1,0,88,0,0
"40131",0,0,1,1,77,0,0.0222222222222222
"40132",0,0,0.337355651776362,10,88,0,0.222222222222222
"40133",0,0,0.694421141321735,5,103.666666666667,0,0.111111111111111
"40134",0.4,21.0526315789474,0.0659807772160372,21,118.333333333333,0,0.466666666666667
"40135",0.5,22.7272727272727,0.0357637665909779,24,120,0,0.533333333333333
"40136",0.333333333333333,17.5438596491228,0.0659807772160372,21,118.333333333333,0,0.466666666666667
"40137",0.333333333333333,19.6078431372549,0.0884975757038526,19,111.666666666667,0,0.422222222222222
"40138",0.4,22.2222222222222,0.0785676254945455,20,116.666666666667,0,0.444444444444444
"40139",0.4,21.0526315789474,0.0970392989203655,19,117.666666666667,0,0.422222222222222
"40140",0.333333333333333,18.5185185185185,0.109246425904702,18,112.666666666667,0,0.4
"40141",0.166666666666667,5.20833333333333,0.585440934568927,7,121,0,0.155555555555556
"40142",0.5,8.92857142857143,0.144683743210904,17,120.333333333333,0,0.377777777777778
"40143",1,11.9047619047619,0.104588262828956,19,123,0,0.422222222222222
"40144",1.2,12.1212121212121,0.00353259211010774,33,120.333333333333,0,0.733333333333333
"40145",0.5,4.5045045045045,0.0221059049420608,26,119.333333333333,0,0.577777777777778
"40146",0.8,7.07964601769911,0.0388794045152315,24,124,0,0.533333333333333
"40147",1.125,10.7142857142857,0.104588262828956,19,123,0,0.422222222222222
"40148",1,10,0.0472922834863332,23,123,0,0.511111111111111
"40149",0.875,9.61538461538461,0.126849294015145,18,124,0,0.4
"40155",0.375,11.71875,0.313954464714331,12,119.333333333333,0,0.266666666666667
"40156",0.5,12.8205128205128,0.174452200756426,16,122,0,0.355555555555556
"40157",0.4,12.9032258064516,0.201867878536715,15,120.333333333333,0,0.333333333333333
"40158",0.333333333333333,18.5185185185185,0.0431340476171369,23,118.333333333333,0,0.511111111111111
"40159",0.285714285714286,12.987012987013,0.074303624587011,20,113.333333333333,0,0.444444444444444
"40160",0.333333333333333,15.8730158730159,0.0979856075346232,19,118.333333333333,0,0.422222222222222
"40161",0.166666666666667,8.33333333333333,0.411313791776259,10,120,0,0.222222222222222
"40162",0,0,1,0,115.333333333333,0,0
"40163",0.125,4.46428571428571,0.349675175885057,11,114.333333333333,0,0.244444444444444
"40164",0,0,0.576920760672382,7,115.666666666667,0,0.155555555555556
"40165",0,0,0.238562635593107,13,103.666666666667,0,0.288888888888889
"40166",0.2,4.16666666666667,0.410010264651835,10,119.333333333333,0,0.222222222222222
"40167",0.285714285714286,4.84261501210654,0.718347758347887,5,123,0,0.111111111111111
"40168",0.375,4.74683544303797,0.649885940458313,6,121.333333333333,0,0.133333333333333
"40169",0,0,1,0,121.333333333333,0,0
"40170",0,0,0.783604212151156,-4,119.333333333333,0,-0.0888888888888889
"40171",0,0,0.927861489344052,2,122,0,0.0444444444444444
"40172",0,0,0.927861489344052,2,122,0,0.0444444444444444
"40173",0.142857142857143,0.789265982636148,0.785351076912987,4,121.333333333333,0,0.0888888888888889
"40174",0,0,0.851626208424399,3,114.333333333333,0,0.0666666666666667
"40175",0,0,0.927861489344052,-2,122,0,-0.0444444444444444
"40176",-0.428571428571429,-2.0703933747412,0.65078009763053,-6,122,0,-0.133333333333333
"40177",-0.285714285714286,-1.36054421768707,0.361976326956698,-11,120.333333333333,0,-0.244444444444444
"40178",-0.333333333333333,-1.56494522691706,0.588506355271711,-7,123,0,-0.155555555555556
"40179",-0.333333333333333,-1.56494522691706,0.588506355271711,-7,123,0,-0.155555555555556
"40180",-0.25,-1.15740740740741,0.718347758347887,-5,123,0,-0.111111111111111
"40181",-0.333333333333333,-1.57977883096366,0.588506355271711,-7,123,0,-0.155555555555556
"40182",-0.142857142857143,-0.703729767769177,0.856890422412617,-3,123,0,-0.0666666666666667
"40183",-0.25,-1.40449438202247,0.720514787136255,-5,125,0,-0.111111111111111
"40184",0.2,1.36986301369863,0.785924033396177,4,122,0,0.0888888888888889
"40185",0.5,3.90625,0.653422094755318,6,124,0,0.133333333333333
"40186",0.5,4.09836065573771,0.31797617698155,12,121.333333333333,0,0.266666666666667
